"symbol","window_start","window_end","count","ema_6","ema_10","ema_12","ema_13","ema_20","ema_26","ema_50","current_price","current_high","current_low","current_open","total_volume","avg_volume","rsi","ha_open","ha_close","ha_high","ha_low","macd","macd_signal","plus_di","minus_di","plus_di_long","minus_di_long","aroon_osc","bull_power","bear_power","chaikin_vol","rsi_smoothed","signal","trade_type","time","diff"
"BABA","2025-11-02T15:29:00.000000000","2025-11-02T16:19:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:24:00.000000000","2025-11-02T16:14:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:13:00.000000000","2025-11-02T16:03:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:05:00.000000000","2025-11-02T15:55:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:28:00.000000000","2025-11-02T16:18:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:01:00.000000000","2025-11-02T15:51:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:18:00.000000000","2025-11-02T16:08:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:09:00.000000000","2025-11-02T15:59:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:10:00.000000000","2025-11-02T16:00:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:27:00.000000000","2025-11-02T16:17:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:02:00.000000000","2025-11-02T15:52:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:17:00.000000000","2025-11-02T16:07:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:11:00.000000000","2025-11-02T16:01:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:33:00.000000000","2025-11-02T16:23:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:19:00.000000000","2025-11-02T16:09:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:06:00.000000000","2025-11-02T15:56:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:32:00.000000000","2025-11-02T16:22:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:47:00.000000000","2025-11-02T16:37:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:11:00.000000000","2025-11-02T16:01:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:01:00.000000000","2025-11-02T15:51:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:28:00.000000000","2025-11-02T16:18:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:41:00.000000000","2025-11-02T16:31:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:48:00.000000000","2025-11-02T16:38:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:26:00.000000000","2025-11-02T16:16:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:22:00.000000000","2025-11-02T16:12:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:01:00.000000000","2025-11-02T15:51:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:23:00.000000000","2025-11-02T16:13:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:36:00.000000000","2025-11-02T16:26:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:45:00.000000000","2025-11-02T16:35:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:31:00.000000000","2025-11-02T16:21:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:11:00.000000000","2025-11-02T16:01:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:32:00.000000000","2025-11-02T16:22:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:14:00.000000000","2025-11-02T16:04:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:22:00.000000000","2025-11-02T16:12:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:35:00.000000000","2025-11-02T16:25:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:09:00.000000000","2025-11-02T15:59:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:44:00.000000000","2025-11-02T16:34:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:40:00.000000000","2025-11-02T16:30:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:31:00.000000000","2025-11-02T16:21:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:00:00.000000000","2025-11-02T15:50:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:49:00.000000000","2025-11-02T16:39:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:29:00.000000000","2025-11-02T16:19:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:00:00.000000000","2025-11-02T15:50:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:00:00.000000000","2025-11-02T15:50:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:49:00.000000000","2025-11-02T16:39:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:13:00.000000000","2025-11-02T16:03:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:40:00.000000000","2025-11-02T16:30:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:30:00.000000000","2025-11-02T16:20:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:29:00.000000000","2025-11-02T16:19:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:40:00.000000000","2025-11-02T16:30:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:36:00.000000000","2025-11-02T16:26:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:25:00.000000000","2025-11-02T16:15:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:37:00.000000000","2025-11-02T16:27:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:42:00.000000000","2025-11-02T16:32:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:07:00.000000000","2025-11-02T15:57:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:47:00.000000000","2025-11-02T16:37:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:33:00.000000000","2025-11-02T16:23:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:08:00.000000000","2025-11-02T15:58:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:38:00.000000000","2025-11-02T16:28:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:35:00.000000000","2025-11-02T16:25:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:37:00.000000000","2025-11-02T16:27:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:12:00.000000000","2025-11-02T16:02:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:19:00.000000000","2025-11-02T16:09:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:04:00.000000000","2025-11-02T15:54:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:44:00.000000000","2025-11-02T16:34:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:44:00.000000000","2025-11-02T16:34:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"TSLA","2025-11-02T15:15:00.000000000","2025-11-02T16:05:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","663432.0","663432.0","50.0","0.0","456.6325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:43:00.000000000","2025-11-02T16:33:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:38:00.000000000","2025-11-02T16:28:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:37:00.000000000","2025-11-02T16:27:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:36:00.000000000","2025-11-02T16:26:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:02:00.000000000","2025-11-02T15:52:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"AAPL","2025-11-02T15:43:00.000000000","2025-11-02T16:33:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","1607304.0","1607304.0","50.0","0.0","270.4525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098576478","1"
"META","2025-11-02T15:08:00.000000000","2025-11-02T15:58:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","422193.0","422193.0","50.0","0.0","648.6525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098576478","1"
"BABA","2025-11-02T15:03:00.000000000","2025-11-02T15:53:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","231370.0","231370.0","50.0","0.0","170.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:41:00.000000000","2025-11-02T16:31:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:46:00.000000000","2025-11-02T16:36:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
"INTC","2025-11-02T15:49:00.000000000","2025-11-02T16:39:00.000000000","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","946061.0","946061.0","50.0","0.0","40.004999999999995","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098576478","1"
